Energy	Sigma_E	Magnitisation	Sigma_M	Heat Capacity	Sigma_C	Susceptibilty	Sigma_X	
-1.9885914478619655	1.4266266699627549e-05	0.9970129832458114	2.0422247018277e-05	0.06860504862128032	0.0014237293452038322	0.01051086412742734	0.005977013198611131
-1.9838318579644911	3.36560161955826e-06	0.995745936484121	1.0053352130110634e-06	0.0868290461480801	2.4230857348248128e-05	0.008250763793430123	3.250427787359917e-06
-1.9776897424356088	3.6552228908547198e-06	0.9940693073268317	1.051074584361703e-06	0.11106004102496628	4.0872011219785935e-05	0.011549822166600885	4.859775673597498e-06
-1.9700276069017255	5.301231667016508e-06	0.991934223555889	1.416551192109213e-06	0.13711373712275984	7.890020333124104e-05	0.015627481104806065	1.1580280868609399e-05
-1.9605250512628158	3.428262794493309e-06	0.9892307976994249	1.1979626501638236e-06	0.16804090215641657	0.00012127098778832989	0.021191903477357256	1.6153825771571225e-05
-1.948967341835459	5.315516952080525e-06	0.9858646461615405	1.6469212337013286e-06	0.20388730974894467	5.8358467129362175e-05	0.028517221179463342	8.468567112930853e-06
-1.9352335083770944	6.646248903712376e-06	0.9817620305076269	1.825841947530345e-06	0.23998416984489196	0.00020146346842159769	0.03747004227314896	2.1930401229031866e-05
-1.918675008752188	6.524485331097735e-06	0.9766447911977996	2.1549830045678203e-06	0.28868024504466505	0.0001546745377393146	0.05077569536116556	2.5127364788351027e-05
-1.8993210302575645	7.0199883803206286e-06	0.9704504426106527	2.2357438548408734e-06	0.3368385968528102	0.0002643121695329947	0.06730789675043397	3.482669091044508e-05
-1.8765546186546636	5.472537876191564e-06	0.96284304076019	1.7787980867639882e-06	0.3989458416474726	0.00024196652878393085	0.0926187614909428	5.999381700707919e-05
-1.849790707676919	1.053919645336776e-05	0.9534965941485373	4.021484278379102e-06	0.4621294030519155	0.00037206534940096225	0.1259497481937111	9.534831249110952e-05
-1.8190130932733184	1.1304852805529664e-05	0.9419899174793698	5.452248672593251e-06	0.5354313809052336	0.0005079599048357538	0.17894074565718027	0.00016466576536349956
-1.7829752438109527	7.825318004620369e-06	0.9276630757689424	3.7808041915161577e-06	0.6264355902493457	0.0003847958278936016	0.2548423241808984	0.00014538659014711727
-1.7406857714428607	1.9534984202910346e-05	0.909163230807702	1.4734660176545948e-05	0.7349953521892374	0.000404104277903004	0.3997723627886399	0.0005028695816051363
-1.6909807451862966	1.7299333721039913e-05	0.8849057864466117	1.5799040656254888e-05	0.8652748263487803	0.00027094704774423983	0.6523033356980174	0.0012782149204075897
-1.6307634308577144	6.166931254950927e-05	0.8495981295323831	8.738305803186172e-05	1.0754723102086643	0.0005827396669886988	1.4269063370440722	0.008486289235384938
-1.5560138034508628	7.27087998576464e-05	0.793311807951988	0.00017973338643579242	1.3695747073658835	0.0020756996081951373	4.7108430315561	0.06385003610246093
-1.4552161840460116	0.00011362737400168708	0.6695655013753439	0.00046260328105397574	1.9527476855988728	0.0032317589457226225	21.653216916389983	0.16396012545014493
-1.3255323430857713	9.973119600216053e-05	0.403366031507877	0.0005085970859876078	1.8845519897151248	0.004580566773743975	45.341117812655206	0.17425627159912718
-1.2308364891222805	6.947358320348711e-05	0.2413976894223556	0.0002885195698905279	1.2929407460735933	0.0015831993223753258	26.846473837996246	0.03372055596312454
-1.1602341185296323	2.549128072027333e-05	0.1557909677419355	0.00018716818511350269	0.9860886131355343	0.0006808461261991465	13.150409712905716	0.031533138058335006
-1.1034034308577143	4.054216255421833e-05	0.12555368842210554	0.0001276155463257855	0.8598683197602803	0.0006420993439040776	8.604943842897514	0.01353335820844943
-1.0534412803200799	2.4561320986293735e-05	0.10578752688172044	0.0001044179321179109	0.7600551969553311	0.0002748699923025678	5.9939336220932296	0.011207176776907595
-1.009188017004251	3.4747695985541495e-05	0.09032678169542385	0.0001285553181219973	0.6693838307561447	0.000409400191484904	4.352483394214139	0.006752281524945793
-0.9696458114528632	1.680398931216132e-05	0.0801496274068517	6.0558550537012536e-05	0.611410965688338	0.0003037189164615117	3.357320992166314	0.005273154721097133
-0.9335731132783196	1.7541778097952762e-05	0.07267848962240561	8.378200266507495e-05	0.5529047661397297	0.00032244334559462833	2.691852385924192	0.005800061825373213
-0.9010690472618155	1.5691234940870875e-05	0.06665578394598651	3.708797513042058e-05	0.5039484166596465	0.00036736516354857483	2.2272767687311106	0.002086273798574269
-0.8712568742185546	1.4030378855909768e-05	0.06161828457114278	3.489328294928034e-05	0.46633416497434654	0.00038329677442135765	1.871669635483905	0.0029312404910154465
-0.8433862665666416	1.8998063186283977e-05	0.05734627656914229	3.054584037262745e-05	0.43366862724348065	0.00040558524658414256	1.6015299958475921	0.001962486101126588
-0.8171638109527382	1.3372325071426215e-05	0.054425626406601646	2.5346031484118133e-05	0.3977443057098322	0.0001919521021189822	1.4205073263744799	0.0020503092583775986
