Energy	Sigma_E	Magnitisation	Sigma_M	Heat Capacity	Sigma_C	Susceptibilty	Sigma_X	
-1.8768925631407851	0.0007383808396204353	0.0024	7.37257477290143e-19	0.31493758545050193	0.03757414939274885	0.0	0.0
-1.8712787396849213	2.8374506711658882e-05	0.0024	7.37257477290143e-19	0.12800640583036998	0.0006189173669467132	0.0	0.0
-1.862275708927232	2.186477719813419e-05	0.0024	7.37257477290143e-19	0.15462489399553406	0.0002955401276218169	0.0	0.0
-1.8518830907726933	1.976371252704743e-05	0.0024	7.37257477290143e-19	0.18071015388924916	0.0003379082453036939	0.0	0.0
-1.8392361490372593	2.078267671529363e-05	0.0024	7.37257477290143e-19	0.21894289937507017	0.00028042901149310156	0.0	0.0
-1.8246828307076768	3.061932568753044e-05	0.0024	7.37257477290143e-19	0.24543774113383718	0.0005798022115396791	0.0	0.0
-1.8085384346086522	7.091980318361482e-05	0.0024	7.37257477290143e-19	0.2880900457724331	0.0005815175146789661	0.0	0.0
-1.7899720130032506	5.367678537418469e-05	0.0024	7.37257477290143e-19	0.3239722025625005	0.00041249768481656094	0.0	0.0
-1.767442220555139	4.258073493972108e-05	0.0024	7.37257477290143e-19	0.3834823609258993	0.0007165547124710934	0.0	0.0
-1.7419606501625406	2.899116768516367e-05	0.0024	7.37257477290143e-19	0.4327770374356549	0.0006616160823380914	0.0	0.0
-1.7133736434108526	3.009219616169011e-05	0.0024	7.37257477290143e-19	0.49215887027347816	0.0004048915986666678	0.0	0.0
-1.680050652663166	4.9219993038673905e-05	0.0024	7.37257477290143e-19	0.5738571880622947	0.0005375641671443155	0.0	0.0
-1.6410432208052015	4.9134920094940024e-05	0.0024	7.37257477290143e-19	0.6727088429864228	0.0007441192104453687	0.0	0.0
-1.5962670467616904	9.18722790597656e-05	0.0024	7.37257477290143e-19	0.7532898240726773	0.0010019582287853776	0.0	0.0
-1.5476859614903726	0.00011807667505875573	0.0024	7.37257477290143e-19	0.8652518666382009	0.0017924368374030364	0.0	0.0
-1.4878533033258314	6.629252895728362e-05	0.0024	7.37257477290143e-19	1.0135152336307929	0.0014374651278003595	0.0	0.0
-1.4222857314328583	6.899417148680724e-05	0.0024	7.37257477290143e-19	1.0905774332408518	0.0011318019825540333	0.0	0.0
-1.3480000800200052	0.00014726995936127621	0.0024	7.37257477290143e-19	1.1711767882646575	0.0020585474251981588	0.0	0.0
-1.276513868467117	6.164506786983287e-05	0.0024	7.37257477290143e-19	1.1329304528162685	0.0012606480508555063	0.0	0.0
-1.207536864216054	9.190592932289661e-05	0.0024	7.37257477290143e-19	1.0038214764535165	0.0010722929024609622	0.0	0.0
-1.14775983995999	6.059128398427092e-05	0.0024	7.37257477290143e-19	0.9233507744675375	0.0007902732217214597	0.0	0.0
-1.0943810952738184	7.476686999653641e-05	0.0024	7.37257477290143e-19	0.8264887467035134	0.0004976993631902767	0.0	0.0
-1.0458553638409602	3.765784237842462e-05	0.0024	7.37257477290143e-19	0.7281273770716169	0.0009862808880402893	0.0	0.0
-1.003834738684671	2.3057443646512894e-05	0.0024	7.37257477290143e-19	0.6576527305582182	0.000398713335930711	0.0	0.0
-0.964807761940485	3.025810933843879e-05	0.0024	7.37257477290143e-19	0.5885300419781174	0.0003328879514508396	0.0	0.0
-0.929156689172293	3.385512006173312e-05	0.0024	7.37257477290143e-19	0.54224971811921	0.0002627083886941819	0.0	0.0
-0.8969556589147287	3.6276655213161345e-05	0.0024	7.37257477290143e-19	0.49986898857849493	0.000240609160769017	0.0	0.0
-0.8671487671917979	1.5312047913769484e-05	0.0024	7.37257477290143e-19	0.459645631938981	0.00027387566256824514	0.0	0.0
-0.8399045361340335	2.7209758383737208e-05	0.0024	7.37257477290143e-19	0.4274894818577105	0.00023826642590061854	0.0	0.0
-0.8139349037259315	2.513833032938526e-05	0.0024	7.37257477290143e-19	0.3948419181280045	0.0004013450747711615	0.0	0.0
